Loan Date Quarter,BorrowerState,LoanAmount
2011-Q4,CT,479100
2011-Q4,DC,163100
2011-Q4,DE,141000
2011-Q4,FL,2198823
2011-Q4,GA,1348087
2011-Q4,HI,149500
2011-Q4,ID,115000
2011-Q4,IL,1497260
2011-Q4,IN,803231
2011-Q4,KS,225000
2011-Q4,KY,337525
2011-Q4,LA,457400
2011-Q4,MA,734806
2011-Q4,MD,883044
2011-Q4,MI,1037726
2011-Q4,MN,610410
2011-Q4,MO,587680
2011-Q4,MS,172850
2011-Q4,MT,58850
2011-Q4,NC,1061602
2011-Q4,NE,185200
2011-Q4,NH,137000
2011-Q4,NJ,910335
2011-Q4,NM,115000
2011-Q4,NV,385700
2011-Q4,NY,2073429
2011-Q4,OH,1108646
2011-Q4,OK,285500
2011-Q4,OR,524140
2011-Q4,PA,844450
2011-Q4,RI,100500
2011-Q4,SC,419069
2011-Q4,SD,60585
2011-Q4,TN,536700
2011-Q4,TX,2106740
2011-Q4,UT,136300
2011-Q4,VA,1295737
2011-Q4,VT,45000
2011-Q4,WA,912725
2011-Q4,WI,539625
2011-Q4,WV,129050
2011-Q4,WY,20000
2012-Q1,AK,120047
2012-Q1,AL,615550
2012-Q1,AR,283254
2012-Q1,AZ,579899
2012-Q1,CA,4559346
2012-Q1,CO,601892
2012-Q1,CT,800969
2012-Q1,DC,243700
2012-Q1,DE,136500
2012-Q1,FL,2528932
2012-Q1,GA,1672735
2012-Q1,HI,181500
2012-Q1,ID,143000
2012-Q1,IL,1847757
